"X1","X2","X3"
364294,"default",2012-05-01
364295,"default",2012-08-01
364302,"default",2012-08-01
364305,"not default",NA
364308,"default",2012-08-01
364315,"default",2012-09-01
364317,"default",2012-06-01
364319,"default",2012-08-01
364320,"default",2012-08-01
364324,"default",2012-08-01
364329,"default",2012-05-01
364332,"default",2012-06-01
364333,"default",2012-08-01
364335,"not default",NA
364339,"default",2012-05-01
364341,"default",2012-05-01
364343,"default",2012-08-01
364348,"not default",NA
364350,"default",2012-06-01
364354,"default",2012-08-01
364356,"default",2012-06-01
364359,"default",2012-08-01
364361,"default",2012-08-01
364362,"default",2012-08-01
364365,"default",2012-06-01
364369,"not default",NA
364370,"default",2012-06-01
364371,"default",2012-05-01
364372,"not default",NA
364373,"default",2012-06-01
364374,"default",2012-08-01
364375,"default",2012-08-01
364388,"default",2012-08-01
364389,"default",2012-09-01
364390,"default",2012-08-01
364394,"default",2012-06-01
364395,"default",2012-08-01
