"","X1","X2","X3"
"14425",72418,"not default",NA
"14426",72419,"not default",NA
"14427",72421,"not default",NA
"14428",72424,"not default",NA
"14429",72433,"not default",NA
"14430",72434,"not default",NA
"14431",72437,"not default",NA
"14432",72440,"not default",NA
"14433",72447,"not default",NA
"14434",72453,"not default",NA
"14435",72471,"not default",NA
"14436",72472,"not default",NA
"14437",72474,"not default",NA
"14438",72476,"not default",NA
"14439",72482,"not default",NA
"14440",72484,"not default",NA
"14441",72491,"not default",NA
"14442",72493,"not default",NA
"14443",72504,"not default",NA
"14444",72507,"not default",NA
"14445",72514,"not default",NA
"14446",72521,"not default",NA
"14447",72530,"not default",NA
"14448",72531,"not default",NA
"14449",72533,"not default",NA
"14450",72544,"not default",NA
"14451",72562,"not default",NA
"14452",72577,"not default",NA
"14453",72604,"not default",NA
"14454",72608,"not default",NA
"14455",72609,"not default",NA
"14456",72612,"not default",NA
"14457",72614,"not default",NA
"14458",72620,"not default",NA
"14459",72630,"not default",NA
"14460",72639,"not default",NA
"14461",72640,"not default",NA
"14462",72647,"not default",NA
"14463",72650,"not default",NA
"14464",72655,"not default",NA
"14465",72665,"not default",NA
"14466",72671,"not default",NA
"14467",72677,"not default",NA
"14468",72689,"not default",NA
"14469",72690,"not default",NA
"14470",72715,"not default",NA
"14471",72728,"not default",NA
"14472",72729,"not default",NA
"14473",72731,"not default",NA
"14474",72732,"not default",NA
"14475",72733,"not default",NA
"14476",72734,"not default",NA
"14477",72737,"not default",NA
"14478",72738,"not default",NA
"14479",72749,"not default",NA
"14480",72750,"not default",NA
"14481",72758,"not default",NA
"14482",72761,"not default",NA
"14483",72762,"not default",NA
"14484",72770,"not default",NA
"14485",72773,"not default",NA
"14486",72812,"not default",NA
"14487",72814,"not default",NA
"14488",72817,"not default",NA
"14489",72822,"not default",NA
"14490",72834,"not default",NA
"14491",72841,"not default",NA
"14492",72845,"not default",NA
"14493",72848,"not default",NA
"14494",72850,"not default",NA
"14495",72852,"not default",NA
"14496",72853,"not default",NA
"14497",72857,"not default",NA
"14498",72863,"not default",NA
"14499",72864,"not default",NA
"14500",72868,"not default",NA
"14501",72870,"not default",NA
"14502",72875,"not default",NA
"14503",72876,"not default",NA
"14504",72877,"not default",NA
"14505",72878,"not default",NA
"14506",72885,"not default",NA
"14507",72886,"not default",NA
"14508",72887,"not default",NA
"14509",72889,"not default",NA
"14510",72892,"not default",NA
"14511",72895,"not default",NA
"14512",72902,"not default",NA
"14513",72910,"not default",NA
"14514",72912,"not default",NA
"14515",72917,"not default",NA
"14516",72922,"not default",NA
"14517",72934,"not default",NA
"14518",72940,"not default",NA
"14519",72960,"not default",NA
"14520",72962,"not default",NA
"14521",72963,"not default",NA
"14522",72971,"not default",NA
"14523",72972,"not default",NA
"14524",72977,"not default",NA
"14525",72978,"not default",NA
"14526",72980,"not default",NA
"14527",72984,"not default",NA
"14528",72992,"not default",NA
"14529",72993,"not default",NA
"14530",72999,"not default",NA
"14531",73010,"not default",NA
"14532",73011,"not default",NA
"14533",73013,"not default",NA
"14534",73014,"not default",NA
"14535",73025,"not default",NA
"14536",73028,"not default",NA
"14537",73032,"not default",NA
"14538",73036,"not default",NA
"14539",73043,"not default",NA
"14540",73050,"not default",NA
"14541",73052,"not default",NA
"14542",73060,"not default",NA
"14543",73075,"not default",NA
"14544",73077,"not default",NA
"14545",73085,"not default",NA
"14546",73092,"not default",NA
"14547",73110,"not default",NA
"14548",73113,"not default",NA
