"","X1","X2","X3"
"39450",185186,"not paid",NA
"39451",185190,"paid",2011-05-01
"39452",185193,"paid",2011-08-01
"39453",185203,"paid",2011-09-01
"39454",185215,"paid",2011-04-01
"39455",185216,"paid",2010-09-01
"39456",185219,"paid",2011-03-01
"39457",185222,"paid",2011-03-01
"39458",185224,"paid",2011-05-01
"39459",185234,"paid",2011-01-01
"39460",185247,"paid",2012-05-01
"39461",185250,"not paid",NA
"39462",185257,"paid",2010-07-01
"39463",185258,"paid",2011-08-01
"39464",185260,"paid",2010-08-01
"39465",185271,"not paid",NA
"39466",185275,"paid",2010-10-01
"39467",185285,"paid",2010-08-01
"39468",185289,"paid",2010-09-01
"39469",185293,"paid",2011-05-01
"39470",185298,"paid",2011-05-01
"39471",185299,"paid",2011-02-01
"39472",185301,"paid",2010-09-01
"39473",185303,"paid",2010-09-01
"39474",185308,"paid",2011-08-01
"39475",185309,"paid",2010-08-01
"39476",185320,"paid",2010-11-01
"39477",185331,"paid",2010-11-01
"39478",185332,"paid",2010-11-01
"39479",185334,"paid",2011-04-01
"39480",185337,"paid",2011-11-01
"39481",185342,"paid",2010-11-01
"39482",185343,"paid",2010-11-01
"39483",185349,"paid",2011-01-01
"39484",185355,"paid",2011-03-01
"39485",185359,"paid",2010-10-01
"39486",185365,"paid",2010-09-01
"39487",185366,"not paid",NA
"39488",185368,"paid",2011-06-01
"39489",185373,"paid",2011-05-01
"39490",185376,"paid",2011-10-01
"39491",185377,"paid",2010-09-01
"39492",185378,"paid",2010-10-01
"39493",185379,"paid",2010-08-01
"39494",185380,"not paid",NA
"39495",185382,"paid",2011-10-01
"39496",185385,"paid",2011-02-01
"39497",185386,"paid",2011-10-01
"39498",185391,"paid",2010-12-01
"39499",185394,"paid",2010-12-01
"39500",185399,"paid",2010-10-01
"39501",185401,"paid",2010-08-01
"39502",185403,"paid",2010-10-01
"39503",185419,"paid",2011-02-01
"39504",185422,"not paid",NA
"39505",185423,"not paid",NA
"39506",185426,"not paid",NA
"39507",185427,"not paid",NA
"39508",185429,"paid",2010-08-01
"39509",185433,"paid",2010-08-01
"39510",185434,"paid",2011-05-01
"39511",185435,"paid",2010-11-01
"39512",185438,"paid",2012-05-01
"39513",185440,"paid",2012-05-01
"39514",185450,"paid",2011-05-01
"39515",185457,"paid",2010-08-01
"39516",185466,"paid",2010-10-01
"39517",185467,"paid",2010-10-01
"39518",185468,"paid",2010-10-01
"39519",185470,"paid",2010-10-01
"39520",185475,"paid",2010-10-01
"39521",185479,"paid",2010-10-01
"39522",185480,"paid",2010-10-01
"39523",185486,"paid",2010-10-01
"39524",185491,"paid",2010-09-01
"39525",185496,"paid",2010-11-01
"39526",185500,"paid",2011-05-01
"39527",185509,"paid",2011-05-01
"39528",185515,"paid",2010-10-01
"39529",185517,"paid",2010-09-01
"39530",185520,"paid",2010-10-01
"39531",185523,"paid",2012-01-01
"39532",185524,"paid",2010-10-01
"39533",185531,"paid",2010-10-01
"39534",185533,"paid",2011-04-01
"39535",185534,"paid",2011-05-01
"39536",185535,"paid",2010-10-01
"39537",185538,"paid",2010-08-01
"39538",185539,"paid",2010-10-01
"39539",185541,"paid",2010-10-01
"39540",185546,"paid",2010-10-01
"39541",185548,"paid",2011-05-01
"39542",185550,"paid",2011-11-01
"39543",185551,"not paid",NA
"39544",185552,"paid",2011-05-01
"39545",185557,"paid",2011-05-01
"39546",185558,"paid",2012-05-01
"39547",185564,"paid",2010-11-01
"39548",185566,"paid",2011-04-01
"39549",185568,"paid",2011-04-01
"39550",185572,"paid",2010-09-01
"39551",185582,"paid",2010-10-01
"39552",185597,"paid",2011-05-01
"39553",185606,"paid",2010-09-01
"39554",185611,"paid",2011-05-01
"39555",185616,"paid",2011-11-01
"39556",185617,"paid",2010-10-01
"39557",185618,"paid",2011-08-01
"39558",185625,"not paid",NA
"39559",185632,"paid",2011-01-01
"39560",185640,"not paid",NA
"39561",185646,"not paid",NA
"39562",185649,"paid",2010-08-01
"39563",185652,"paid",2011-02-01
"39564",185661,"paid",2011-08-01
"39565",185662,"not paid",NA
"39566",185663,"paid",2011-02-01
"39567",185664,"not paid",NA
"39568",185665,"paid",2011-03-01
"39569",185670,"paid",2011-04-01
"39570",185673,"paid",2010-09-01
"39571",185674,"paid",2011-05-01
"39572",185682,"paid",2010-11-01
"39573",185691,"paid",2011-06-01
"39574",185692,"paid",2011-02-01
"39575",185708,"not paid",NA
"39576",185710,"paid",2011-04-01
"39577",185712,"paid",2011-01-01
"39578",185720,"not paid",NA
"39579",185724,"paid",2011-05-01
"39580",185728,"paid",2011-01-01
"39581",185739,"paid",2010-10-01
"39582",185740,"paid",2010-10-01
"39583",185744,"paid",2011-04-01
"39584",185745,"paid",2011-01-01
"39585",185750,"paid",2010-09-01
"39586",185755,"paid",2010-10-01
"39587",185757,"paid",2010-09-01
"39588",185758,"paid",2011-05-01
"39589",185761,"not paid",NA
"39590",185762,"paid",2011-06-01
"39591",185763,"paid",2011-10-01
"39592",185765,"not paid",NA
"39593",185769,"not paid",NA
"39594",185774,"not paid",NA
"39595",185778,"paid",2011-06-01
"39596",185782,"paid",2010-10-01
"39597",185783,"not paid",NA
"39598",185785,"paid",2010-09-01
"39599",185788,"not paid",NA
"39600",185794,"not paid",NA
"39601",185802,"paid",2010-10-01
"39602",185804,"paid",2011-01-01
"39603",185806,"paid",2011-03-01
"39604",185813,"paid",2011-01-01
"39605",185815,"paid",2011-04-01
"39606",185818,"paid",2011-01-01
"39607",185819,"paid",2010-11-01
"39608",185820,"paid",2010-08-01
"39609",185822,"paid",2010-11-01
"39610",185832,"paid",2011-04-01
"39611",185835,"paid",2010-10-01
"39612",185845,"paid",2010-08-01
"39613",185850,"not paid",NA
"39614",185854,"not paid",NA
"39615",185857,"paid",2010-10-01
"39616",185869,"paid",2010-08-01
"39617",185872,"paid",2010-10-01
"39618",185875,"not paid",NA
"39619",185878,"paid",2010-09-01
"39620",185891,"paid",2010-10-01
"39621",185896,"paid",2010-08-01
"39622",185900,"not paid",NA
"39623",185907,"paid",2010-10-01
"39624",185921,"paid",2011-02-01
"39625",185926,"paid",2010-10-01
"39626",185927,"paid",2011-02-01
"39627",185928,"paid",2011-02-01
"39628",185942,"paid",2011-03-01
"39629",185946,"paid",2010-08-01
"39630",185947,"paid",2011-05-01
"39631",185965,"not paid",NA
"39632",185967,"paid",2011-05-01
"39633",185997,"paid",2011-04-01
"39634",186001,"paid",2011-03-01
"39635",186011,"paid",2010-09-01
"39636",186013,"paid",2010-09-01
"39637",186026,"paid",2012-05-01
"39638",186043,"paid",2011-09-01
"39639",186044,"paid",2011-09-01
"39640",186051,"not paid",NA
"39641",186053,"not paid",NA
"39642",186056,"not paid",NA
"39643",186059,"paid",2010-10-01
"39644",186071,"paid",2010-10-01
"39645",186074,"not paid",NA
"39646",186075,"paid",2011-09-01
"39647",186076,"paid",2010-09-01
"39648",186082,"paid",2011-05-01
"39649",186084,"paid",2010-09-01
