Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,26729.32421875,31244.92578125,35397.36328125,32109.2421875,31105.3984375,32486.4296875,28993.349609375
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,15261.7975911138,18466.5479299216,22804.5776774507,19861.6974295256,19960.0684872157,21871.2660754128,19870.8012123403
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,52026.9995142723,58487.0549677696,64322.0635020842,58163.2768762815,58041.3984363385,61753.647131977,58507.5080517852
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,907.817943782596,980.031032399576,1131.63572564038,1164.25168346453,1227.82085311429,1322.72625083956,1418.46085811933
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,5677.05117470908,6126.84949580624,6661.46504737997,7109.9782527814,7182.40020254419,7288.49794777466,7054.87597689432
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,4080.05002687348,4676.07496287687,5053.32457734602,5002.14844186965,5509.56683713904,5859.37921671885,6049.47174094956
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,3340.84090289849,3579.03224391806,4260.43318396471,4240.70259271564,4640.24634437845,5202.65645902066,5678.45572070003
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,1332.33941000282,1586.47292057972,1941.89997269337,2212.21814788932,2509.77203417522,2645.6225349104,3059.13542779204
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,2651.43088765876,2814.58988893523,2964.172140237,2889.68588721937,3017.3073947577,3304.97418347889,3471.05126865498
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,11140.1901650513,13776.9033327262,19849.7177669705,14398.770485777,14905.5134317271,18659.4170544306,18756.4264233373
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,420.528739757639,450.409713679088,459.178402670323,602.063223832873,504.972460176652,643.790042311239,..
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,12639.4000677296,16744.5844516343,18204.9664786762,14711.7352728223,14663.0446126465,17487.8047830922,17403.2053254767
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3053.95466968225,3200.49667194931,3022.46459229813,3270.12772738415,4035.54660730056,4360.97918640339,4396.56251946722
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,191.75129245508,240.347971955032,320.861089711683,373.893958712145,335.438495270931,348.001348291465,458.550920793057
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,41762.5353538847,48365.7439459262,51432.2858398355,47410.663780103,48167.4534013716,51786.5967438257,50156.8509738445
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3483.59718493626,3793.09738500959,3928.92173857964,3184.68912291481,3469.16591690207,4160.68402100408,4359.77534993306
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,41222.6020004611,48476.3927287052,53772.7942390019,47481.4845364339,46505.3031791811,51148.9316365833,47708.0612784469
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,36470.2128399313,41557.6235648179,45515.9617533473,41737.7635518137,40676.0647913181,43846.4660764798,40870.8523645734
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,21382.2294130752,23837.830673519,25437.6776737658,23326.0823771064,21447.8520601636,21747.9766649747,19864.5380524315
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,6873.45431163044,8036.9202578881,9732.22742799261,7325.90987146375,8399.59670299557,10273.7990117299,9348.5155721976
